lang,source,translation
kjh,тоданова марусямаң пір пала чох иткен олар.,с тодановой марусей одного ребенка они уничтожили.
kjh,[erk1927f] кис халас еще.,[erk1927f] режь хлеб ещё.
mhr,[2] в колхозе.,[2] в колхозе.
kjh,"килтір управмаң хада, киліп одырған.","приехал вместе с управом, посидел."
xas,dĭ bar nuldəbi dĭn amzittə. ,он положил для неё [еды] поесть.
mhr,почиҥгалан,на выселки
mhr,"вот, двое здесь, вот, сами-то старшие.","вот, двое здесь, вот, сами-то старшие."
kjh,"анаң поом палғаам мин, хыра поранаам.","потом снопы вязала я, поле боронила."
xas,aspaʔkən toltanoʔ nulaʔpi. ,в котле лежала картошка.
kjh,пу аалды… мының алнында улуғ аал полған зе.,это село раньше большое село было ведь.
kjh,"[evs1979f] ну хазых полыңар, еще чуртаңар.","[evs1979f] ну будьте зоровы, еще живите."
xas,"dĭgəttə dĭ koʔbsaŋ ibiʔi ular, ineʔi i tüžöjʔi i abandə (ka-) kalladʼürbiʔi. ","девушки взяли овец, лошадей, коров и ушли к своему отцу."
xas,"dĭzeŋ oʔb, šide, nagur, teʔtə. ","они… один, два, три, четыре."
xas,bar ipek nendləj. ,хлеб сгорит.
mhr,вольыкымат погенна.,и скотину завели.
kjh,"[lmp1941f] ага, итче.","[lmp1941f] да, делает."
kjh,"ну, как я могу чоохтирға «син алып алғазың» или «син алып алғазың».","ну, как я могу сказать «ты взял» или «ты взял»."
xas,"a măn koʔbdom bar ĭmbi, bar. ",а моя дочь всё-всё [говорит].
xas,možet urgaːba ambi. ,"может, медведь съел."
evn,"уто̄лэ-тэ эhӣ-дэ орордӯйӣ hердӯтын, hе̄рватын минэфкӣл эдэвэр hокордэ... hокормӣ тарво оронэ, бакада̄тын, бакада̄вэр.","раньше и сейчас оленям на ушах, уши режут, чтобы не потерять, если потеряют этого [оленя], найти чтобы, чтобы найти."
mhr,кӱнчен.,копали.
kjh,зачем пирерге?,зачем давать?
bak,"[rtk] bašqa jaqtar vis birgändär, šuɣa äjtäm.","[rtk] остальные все выдали, поэтому говорю."
xas,(dĭ= uʔ-) dĭ elenat (mo-) molaːmbi volkziʔ. ,эта елена превратилась в волка.
bak,unəhə tejmänihä aðaqtan sewätä... šulaj nej šunəŋ esenä qalaqtar hala torɣajnəq inde.,"а когда это кончалось, потом миски... так это в них клали ложки."
bak,"häm beð unda madjar xaləqənəŋ nisek itep ošonda kilgänen, madjar xaləqənəŋ nisek itep ošonda urənlašqanən häm bašqort xaləqənəŋ böjök watan huɣəšənda ošo dunajða huɣəšta qatnašəwən beldek.","и мы там узнали о том, как пришел сюда народ мадьяры, о том, как народ мадьяры здесь поселились и об участии башкирского народа в великой отечественной войне на этом дунае."
kjh,и анаң на аахтапчалар «хайдары піди кӧзір килгезің анӌа чонны?»,и потом как кричат: «куда привезла столько народу?»
kjh,"анаң аны тіпчелер, анаң чоохтапчалар “плавказы даа чоғыл, іди чӧрче”.",
bak,"unəŋ aɣahə bar, ul xäðer qustəhə bulɣanɣa qəwanəp bergä jäšäjðär.","у него есть старший брат, он сейчас радуется, что у него есть братик, они живут вместе."
bak,"šunan jämilä äjtä: ''äjðä min hiŋä üðebeððeŋ tawðarðə, jəlɣa bujən aɣiðelde kürhätäm'' tip.","и говорит ямиля: ""давай я покажу тебе наши горы, нашу реку агидель""."
xas,nada dĭzeŋ bar kutzʼittə. ,надо их всех убить.
kjh,"анаң кӧмес палых ағылтыр, ниме.",потом немного рыбы привез.
bak,kemdeke ikän belmäjbeð.,мы не знаем чья.
kjh,"пілбинчем, пір дее оңнабинчам, о-о.","не знаю, ничего не помню, о-о."
kjh,[smm1950f] чарым хап <?> алғам.,[smm1950f] я полмешка купила.
kjh,[kau1916f] пу саринда ба?,[kau1916f] на этой стороне?
kjh,кӱннең не парза аны ла чіпчебіс.,целыми днями ее только и едим.
xas,san oʔbdəbiʔi lejbiʔi. ,собирали и лущили орехи.
bak,bəna šul история.,вот такая история.
xas,măn teinen koʔbdonə platəm ibiem. ,я сегодня девке платок купила.
kjh,"[emk1967f] ну ам андада че зе, пу ирткен чылда же мин алғам аны асхыстаң.",[emk1967f] ну тогда в прошлом году же я брала его из аскиза.
kjh,он тӧрт часха кіріп алған тартызып.,"себя с четырнадцати лет она ввела, споря."
bak,"nu teläktär äjtep, qaršə aləp, šul öθtäldärgä ultərtqandəŋ huŋənan tuj bašlana tigän.","ну, пожелания говорят, встретив, и вот после того как усадили за столы, считают, что свадьба начинается."
mhr,и постройку ту.,и постройку ту.
xas,sagər ne šobi. ,черная женщина пришла.
bak,ä kemdärgä huŋ qorbandəŋ iten birergä?,а кому же надо раздать мясо курбана?
evn,"тэр эӈнэко̄рвэ нуӈардула̄тын тастяса̄вун, оhотникилдӯ буттотын, булта̄мнилдӯ.","тех телят мы к ним гнали, чтобы они раздали охотникам, охотникам."
xas,"šobi abandə, bar ĭmbi nörbəbi. ","пришел к отцу, все ему рассказал."
kjh,"[vtt1937f] но, ам суға даа сом полбинчалар, най ла, ниме, соох.","[vtt1937f] да, сейчас покупаться даже не могут, очень, это, холодно."
xas,"kondʼo, muktuʔ dʼala bĭʔpiʔi. ","долго, шесть дней пили."
xas,"esseŋdə nagobiʔi, dăre (bar=) bar kulambiʔi. ","детей у них не было, так все умерли."
xas,"dĭgəttə šaʔlambiam, a măn tănan măndərbiam, măndərbiam, ej (mo-) moliam măndərzittə. ","я [=ты?] спряталась, и я искала и не могла найти."
kjh,"а ол пызаалары халғанда, мишаге пиргем.","а когда эти телята остались, мише отдала."
evn,эрупчу хуруврэн.,"плохо, увез он."
mhr,"[15] ом пале, ме тушкыжо","[15] не знаю, мы туда"
kjh,а чё-то амға кире чоғыл.,а что-то до сих пор нет.
bak,"ber, beräwhe, ikäwhe timer julsəhə, железнодорожник.","один, один, двое железнодорожники."
mhr,ядыкбеляк гычын:,"колька, сын пелагеи,"
evn,долбо тадӯ иhэлдӯ нуӈарнунтын а̄вкӣ.,ночью там на камнях с ними спит.
kjh,перевод ит пирчем.,перевод делаю.
mhr,адакат,опять
mhr,нимогай шур уке.,никакого навоза не было.
kjh,[lat1978f] а хайда танызып алғазар?,[lat1978f] а где познакомились?
bak,"məna ular kešene juldan jaððərər ösön könön tönön ešläjðär, xatta huŋɣə köndärgä tiklem, даже huŋɣə minuttarɣa tiklem ular keše janənda.","вот они чтобы человека с пути сбить днем и ночью работают, и все-таки до последних дней, даже до последних минут они рядом с людьми."
kjh,"[smm1950f] асхыста парох, я?",[smm1950f] в аскизе тоже есть?
kjh,"анаң андары парза, ниме, солдат покозы.",
kjh,піл поларохсар.,"я ведь на хакасском языке говорящий человек, русского языка не знающий человек (я)."
xas,"dĭn üdʼügen amnoləj, dĭgəttə bazoʔ bar tonəʔləj. ","там немного посидит, потом опять топчет."
kjh,"[smm1950f] а, ноо нимелерің че, таналарың чооннар олар или кічиӌектер?","[smm1950f] ага, эти, перламутровые пуговицы твои – они большие или маленькие?"
kjh,"[vtt1937f] ага, андары пар килчем.","[vtt1937f] ага, туда езжу."
kjh,"пірееде иирде одыныбысчам, соох полза.","иногда вечером топлю, когда холодно."
kjh,"а мин оларды буханка… ой, чибіргі сигіс ахчанаң халазы ла алып азыраам.","а я их буханки… ой, двадцативосьмикопеечным хлебом только кормила."
xas,jakšə moləj tănan. ,тебе хорошо будет.
evn,****,****
kjh,"а абам име, зажиточнайға саналып...","а семья отца, считаясь зажиточными…"
xas,"dĭ măndə:"" ulut sajjaʔlil, dĭgəttə aspaʔ moləj"". ","тот говорит: ""отрежешь голову и тогда получишь(?) котел""."
evn,"тар hэлэ умно гэнно̄hисё, бэелвэ оканэм, аӈъя, мӯя.","вот это, однажды бог, сделав людей, пошел за этой самой, за водой."
evn,«ӣла нуӈартын о̄ра?,«куда они делись?
mhr,[15] кости кува вет тоже ойлен ыле?,[15] жена константина ведь тоже говорила?
mhr,[2] подыш пурен каен.,[2] в котёл упал.
kjh,"[vtt1937f] но андағ полтыр, тугу ниме, ат, чалаң аттығ кізі паттыр еще ол нимеде.","[vtt1937f] но такое было, это, лошадь, человек верхом увяз ещё в этом месте."
bak,bəna aptərajəm прямо.,вот я удивилась прямо.
bak,"äbjälil kön üθä... kön üθähen aðna üθkän, aðna üθeren aj üθkän, šulaj itep ul bik köslö batər jeget buləp üθep jetkän.","абзелил растет день... рос за день будто за неделю, а неделю за месяц и таким образом вырос сильным парнем-богатырем."
xas,šobi sablʼanə. ,пришел к цапле.
kjh,вот ирееленчем.,вот мучаюсь.
kjh,"анаң атыныбысханда, пісті… минімең тартыбысхан олар, <?> старикмең, боргояковтар тіп.","когда он застрелился, нас… передо мной извинились они, перед стариком, боргояковы."
evn,«огдоскэ̄!»,«дуся!»
kjh,"«мин мыннаң сідезем, азыра сідебізем» тіпче.","«если я отсюда буду мочиться, через это помочусь», говорит."
bak,"heð nej oloraq jäštäge akkuratnyjraq äbejðärgä barhaɣəð, они tege ular matur itep höjlärðär ul.","вы, это, если пойдете к более аккуратным бабушкам в возрасте постарше, они красиво об этом расскажут."
kjh,"[erk1927f] а-ай, внуктарымға.",
xas,"(ibi voda-), ibi dĭm i maʔnʼi kalladʼürbi. ",взяла ее и пошла домой.
kjh,пір позында пар ипчі анда киректері халбинчен ос монголецтер.,"монголы не обращали на нее внимания, когда угоняли."
kjh,"анаң піди тіпче «мин ӧзіп аларым, ӱгреніп аларым, анаң телефон, а-а, син анӌааға читіре ӧл паразың» тіпче.","потом так говорит: «я когда вырасту, выучусь, потом телефон, э-э, ты до этого времени уже умрешь»."
xas,a dagajzi ipek bătlal — kem naga. ,а ножом хлеб режешь — крови нет.
bak,"ike qatta učiliščenəŋ jaŋɣərap torðo, ""вот ismaham revolucionerka"" tinelär.","[песня] звучала на двух этажах училища, ""вот хоть революционерка"" - говорили."
kjh,"[evs1979f] пу, наверно.","[evs1979f] это, наверно."
xas,ugaːndə šĭšəge. ,очень холодно.
kjh,анаң газетке пасханнар.,потом в газету писали.
evn,"игаркадук эло̄ приходили орорак угуччанал хантайкала̄, тар хинэ нянчитчикаеми.","из игарки сюда переходили, ехав верхом на оленях, в хантайку, когда тебя [м. турскую] я нянчила."
kjh,ам зе тоғынминчен кізі милька ле тоғынминча.,"сейчас не работающий человек милька только, она не работает."
evn,тогда то̄лӣ ичэно̄синэв севернай таймурала̄.,"тогда, тогда поехали посмотреть на северную таймуру."
xas,"""kanaʔ dĭziʔ""; dĭ kambi. ",«иди с ней!»; та пошла.
kjh,"а пу невестказы, однако, чё ли анда.","а это его невестка, однако, что ли там."
xas,ibi süjö. ,взял птицу.
xas,onʼiʔ ine ibiem. ,у меня была одна лошадь.
xas,šumuranə mĭmbiem. ,я ходила на тот конец.
mhr,[15] но тудо йӧра.,[15] но это ладно.
kjh,[mdc1963f] анаң пасха тоғыста тоғынмазар ба?,[mdc1963f] потом на другой работе не работали?
xas,"oʔb, šide, nagur, (muktuʔ), (sejʔpü), šinteʔtə, amitun. ","один, два, три, шесть, семь, восемь, девять."
kjh,"«син брезент куфайка кис салғазың, а піс піди ле чӧрчебіс, соохха тоопчабыс».","«ты брезентовую фуфайку одел, а мы так только ходим, от холода мерзнем»."
mhr,[15] просто так вот села и приехала.,[15] просто так вот села и приехала.
xas,dĭ bazoʔ turanə embi dĭm i dĭm oʔlubi. ,она снова в дом его положила и её впустила.
bak,"ularðəŋ uldarə kolja, un ös jäštär tirähendä.","у них сын коля, около 13 лет."
xas,(dʼo -) dĭgəttə (tʼu - dʼo - dʼora). ,потом плакать.
kjh,"а піске, улуғларға, ол тустағызы мағат полған, хотя хызылғабыс матап.","а нам, пожилым, в то время хорошо было, хотя нуждались очень."
kjh,"и олар аны анаң, ниме, ӧдірібізіп, суға салыбыстырлар.","и они его потом, это, убив, в воду спустили."
xas,"dĭn bar nezeŋ kudonzlaʔbəʔjə, kirgarlaʔbəʔjə. ","там женщины ругаются, кричат."
kjh,"[evs1979f] д, дыбо.",[evs1979f]
xas,dĭgəttə šobiʔi maːʔndə. ,потом пришли домой.
xas,"dĭgəttə mĭmbiʔi, mĭmbiʔi. ","они ходили, ходили."
kjh,"іди, анаң сӱдімні анализ алып алғаннар, таштыпта даа анализ албин я, нимезері ызыбыстыр, абаканза.","так, потом мое молоко на анализ брали, в таштыпе анализ не брали, да, в этот, в абакан возили."
evn,то̄лӣ ӈинакин туро̄си бисё.,тогда у собаки была речь.
xas,inezi maʔnʼi tažerbiam bar. ,привозила его домой на лошади.
kjh,"[mvk1924f] а пу хум, хум адапча нізе, суғ хыринда ахчан.","[mvk1924f] а этот песок, песок называют же, возле текущей реки."
kjh,"а соонаң уже, мин кӧмес ӧзібіскенде, ол кізілерді матап кӧрзем, хыстарын даа таныпчам, мындағыларох полтыр, тігі чоғархы аалдаң, оол… оолларын даа.","а позже уже, когда я чуть подросла, когда на этих людей очень хорошо посмотрела, и девушек знаю, здешние тоже были, оказывается, с верхней стороны деревни, парн… парней тоже."
xas,"a dĭ nüke:"" kanaʔ abandə da (nörbit): ",а эта женщина [говорит]: «иди к [своему?] отцу и скажи:
evn,и вот би туг хавалим.,и вот так я работала.
mhr,"но конешно вара уже пелйӱдет эртен да,","конечно, потом, когда было уже за полночь,"
evn,тадӯ би исдечэв: нуңан бичэн э балдичан примэрно умукон тысяча дяпкундяр дяпкун нуңидӯ аңанидӯ.,там я видела: она родилась в тысяча восемьдесят [восемьсот] восемь [восемьдесят] шестом году.
kjh,мне было восемнадцать лет.,
kjh,а ам піс ле.,а сейчас мы только.
kjh,а запас кӧңнек апарғам.,а запасное платье принесла.
kjh,"анаң абаканнаң поздравление килген, иліг ікі салковай ахча ыстыр.","потом из абакана поздравление пришло, пятьдесят два рубля прислали."
bak,häm ošo qorotto həwətqandar häm həwətqandan huŋ unəŋ həwən tügep... həwən aləp qalɣan qorottan əlaštarɣa... там əlaš такие посуда... əlaštarɣa jomɣaq itep qorotto kipterergä halɣandar.,"и этот курут охлаждали и, охладив, из него воду сливали... убрав воду из оставшегося курута, на специальные помосты (ылаши), сделав (из него) шарик, на помосты курут клали сушить."
bak,"šul biklägändä xäðer bəl kejäw jegete beððeŋ həwðə, šul qəð jaɣənan bulɣan həwðə hatəp aləp inde.","когда закрывают, тогда этот жених нашу воду, эту воду, которая на стороне невесты, покупает."
xas,"vedʼ tăn udal urgo, a măn idiʼije. ","ведь твоя рука большая, а моя маленькая."
xas,"dĭgəttə šonəga, šonəga. ","потом он идет, идет."
bak,"[rtk] jaqmə ikän, unəhən belmäjem.","[rtk] нет, наверное, этого я не знаю."
xas,kuvas molaːmbi. ,красивым стал.
xas,"""da (ko-) kondʼo amnolal, ej kulel. ","""ты долго будешь жить, не умрешь."
xas,bar vʼezʼdʼe măndərlaʔbəbaʔ. ,мы везде смотрим.
mhr,лу ий вет иленам мыйже,десять лет прожила я
kjh,[erk1927f] или сахар полған аның тоже.,[erk1927f] или сахар был у неё тоже.
xas,"dĭ amnobi, amnobi, onʼiʔ nʼedʼelʼə. ","он жил, жил, одну неделю."
evn,"яӈка̄кӯндула̄ эмэвсо, иhэлдула̄.","на горы принесла, на камни."
bak,bəna šulaj ul...,вот так вот.
kjh,сельсоветте парып санаттырғам.,в сельсовете попросила посчитать (я).
bak,"ägär =ðä baj jeteš ikänheŋ, iŋ häjbäte döröθö bötä nämähe tewäl =genä ikenselärgä birew.","если же на самом деле ты богатый, то самое правильное -- все это в целости другим отдать."
kjh,"[mdc1963f] и, анаң, хаҷан сығар полбинчатханда, андар тирең кiр парғанда, анаң на чоохтырыпча нiзе.","[mdc1963f] потом, когда не мог уже вытащить, только когда туда глубоко попало рассказал."
xas,turagən dʼăbaktərbiʔi. ,они разговаривали в доме.
kjh,"[mvk1924f] та пар полған, та чох полған, оңнабинчам.","[mvk1924f] то ли было, то ли не было, не помню."
kjh,"крайдаң край хада полған, абаза полған, я, тігі ниме, и абакан.","от края до края вместе были, абаза была, да, это, и абакан."
xas,dĭ bostə dĭm sürerlüʔpi turagəʔ. ,[потом] она сама его из дома выгнала.
xas,i kola dʼaʔpiʔi dĭn. ,и рыбу там ловили.
xas,"bar ĭmbi mĭbi, ine mĭbi, ular mĭbi, tüžöjʔi mĭbi. ","все дал, лошадь дал, овец дал, коров"
kjh,[evs1979f] ол хат албаан.,[evs1979f] он не женатый.
mhr,а-а... почти кажне кечын йӱр йӱрын.,а-а... почти каждый день шли дожди.
kjh,"ол колхоз тузында мині-те хыра тартырған, ол тартырған.","в это время колхоза меня поле заставлял пахать, он заставлял пахать."
xas,saʔməluʔpam (i) i kunoːlbiam. ,я упала [на кровать] и заснула.
xas,dĭgəttə urgaːba ujut mĭbi. ,потом медведь свою лапу дал.
kjh,<?>,"ну, потом колхоз превратился в совхоз в 60-е годы, стал совхоз."
xas,"(iʔboʔ), iʔboʔ"". ","лежи, лежи""."
mhr,вара темдалеш.,потом нажмёт.
mhr,[15] семьдесят… семьдесят четвёртыйышто.,[15] в семьдесят четвёртом.
evn,би-кэ чо.,я-то что.
kjh,"а позыбыс андада чӧрӌең полғабыс, нойма, кип-азах таа чахсы киспеебіс.","а сами тогда ходили, что, одежды даже хорошей не носили."
kjh,"и, тугу ниме, анаң роди… іӌелерібіс тоғыста полза, мының алдында кино кӧзідерге клубсар движок ағылӌаңнар аттығ.",
kjh,"[zgb1935f] я, средада килгем.","[zgb1935f] да, в среду я приехала."
kjh,[evs1979f] сигізон писке уже? угу.,[evs1979f] восемьдесят пятый уже? ага.
mhr,[10] каждые выходные.,[10] каждые выходные.
kjh,"оларох ағылғаннар, постарох ағылған.","они же привезли, сами же."
evn,****,****
kjh,"надо у тимы спросить, а он младше меня ещё.","[evs1979f] а вчера он нас… как говорит, что больше не скажу."
bak,"ну-ну, qolaɣəna qəsqəra, šulaj.","ну-ну, на ухо кричит, вот так."
bak,šulaj balalarðə üθteräm tip...,"вот так, чтобы растить детей..."
evn,«тэгэкэл!,«садись!
xas,kumbiʔi. ,принесли.
xas,(ri̮branə) kandəbiʔi? ,в рыбное(?) поехали.
kjh,вот аны чіп одыр.,вот ешь его.
mhr,семёновкышто.,в семёновке.
bak,"kešelär ɣäðättä jaqšələq ešlärgä tərəša, ä jendär ularðəŋ kirehen ešläjðär.","люди обычно стремятся делать добро, а духи делают им наперекор."
xas,"iʔgö il kulambiʔi, (kros-) krospaʔi ugandə iʔgö nugaʔi bar. ","много народу умерло, крестов много стоит."
bak,"лучше onotow beðgä, käräkmäj.","лучше забыть нам, не надо."
kjh,"та сын ма, тайма ба.","то ли правда, то ли ложь."
xas,miʔ bar (šut- šu- )… ,мы…
xas,"(măn tož-)"" măn tüžöjbəʔi dĭ вот там, măndə, măn tüžöjbəʔi"". ","""это мои коровы там, говорит он, это мои коровы""."
bak,"anda berehendä uqətəwsəlar torðo, ike bülmähendä uqəttəlar.","там в одной из них жили учителя, в двух комнатах учили."
bak,mineŋ kese qəðəmdəŋ ulə təwðə.,у моей младшей дочери родился сын.
mhr,вот,вот
kjh,нойма?,что (еще)?
xas,"uʔpiam, (ku-) kum ej ĭzemnie. ",встала — ухо не болит.
kjh,гараж идіп алған.,гараж сделал.
kjh,"«а мин анда чӧргем, анда чалӌы полғам» іди соғыбыстырлар.","«а я там ходил, там батраком был», так сплетни распустил."
evn,"нуӈан даже гуниӈкӣн, в берлогэ эпко̄ ва̄рэ... абачӣ.","он даже говорил, в берлоге нельзя убивать... медведь."
mhr,"[1] не, не, я хорошо очень покушала,","[1] не, не, я хорошо очень покушала,"
evn,"дюн ачин эчэ аӈидяра, о̄пдерэ.",чум не построен.
kjh,[zgb1935f] а ӧдірібіскен ол.,[zgb1935f] а убила она.
kjh,а… пірсі амға читіре чуртады.,один до сих пор жил.
mhr,"но йыдалым ышташ ужеш ыле,","но достаточно видел, чтобы лапти плести,"
mhr,тӱрлӧ могырыш каен колтет,в разные стороны разойдётесь
xas,tăn bi̮ kubiol dĭm. ,ты бы его повидал.
kjh,мылчаны даа чадап идіп алған.,баню даже еле сделали.
xas,dĭ ibi da davaj (žernovka=) dĭ tʼerməndə kurzittə. ,он взял и начал мельницу крутить.
kjh,пілбинчем ноға.,не знаю почему.
bak,ul šul xätle uŋdə.,оно до того уродилось.
mhr,[2] <нрзб>,[2] <нрзб>.
xas,dĭgəttə iʔbolaʔbə i (nullə-) nüjleʔbə. ,он там лежит и поет.
xas,"pagən kandəgam, pa nüjleʔbəm. ",в лесу иду - лес пою.
xas,"a volk măndə:"" ĭmbi kürümnaʔbəl? ",волк говорит: почему ты лаешь?
mhr,"[15] ынде тынар иленат да, кокытшо шуко мо?","[15] так долго живёшь, ещё два много что ли?"
xas,a (miʔ=) măn ĭmbidə ej nörbəlam. ,а я ничего не буду говорить.
kjh,"ну, пу араға име итлеп алза, аны и то бутылкалармаң алып алып, и то кӧмес іслеглеп, танцаға чӧрӌеңнер.","ну, эту водку когда сделают, ее и то бутылками взяв, и то маленько выпив, на танцы ходили."
xas,nada dĭm šöʔsittə. ,надо их зашить.
bak,"no qajhə beräwðär üððäre öjrätmäjðär =ðä bašqort telen, käräkmäj tip.","но некоторые и сами не учат башкирскому языку, говорят, не нужно."
xas,dĭgəttə turanə kambibaʔ. ,потом мы пошли в дом.
xas,"""da măn turam lisitsa ibi. ",«да мой дом лиса отняла.
kjh,"конечно, саналар, я. если мин… мин <?> выслуга...","конечно, будет считаться. если я… у меня выслуга..."
evn,hо̄дыh тарэ орорво таhиктамнитын эрэ екэӈдэвон.,он лучший пастух оленей в эконде (=экондинец).
xas,dĭ tože dĭm kabarbi da münörluʔpi. ,тот тоже схватил его и ударил.
bak,"malajə железнодорожник nejðä injärðeŋ üðendä, šunda диполомастером(?).","его сын железнодорожник в этом, в самом инзере, он там диполомастером(?)."
evn,"а тāлā телеграммувэ бакачāл потом уже, ушли, когда уж давно һаваичалāвун.","а там телеграмму нашли потом уже, когда уже мы давно ушли гулять."
evn,аямамат охотилсядеча̄в.,очень хорошо охотился.
mhr,[15] но ындыжым,[15] но
xas,"a dĭ măndə:"" von menzeŋ nuʔməlaʔbəʔjə"". ","а он говорит: «смотри, собаки бегут!»"
kjh,"э-э, тоғыс... тоғыс чоғыл тіп пирчелер, я.","э-э, работы нет, говорят, да."
bak,"""min arənəm, jaləqtəm, ägär =ðä həwðə tultərmaham, äsäjem mine ülterä"", tigän.","я устала, замучилась, а если водой (бочку) не наполню, то мачеха меня убьет."
xas,"i dĭʔnə mămbi: ""nörbaʔ сказка"". ","и ему говорит [тот человек]: ""расскажи сказку""."
mhr,"ала руденам да кӱзыктен кертын омыл, чара кутан ала коштынам, кӧ пала.","может, развязала, но не смогла поднять штаны и голая ходила, кто знает."
xas,"""(m-) măna teŋ münörleʔbəʔjə. ",«меня сильно бьют.
xas,"büjleʔ kanaʔ!"" ",иди за водой!»
bak,"ä ufaɣa barðə, ufala медицинский справка alɣandar, pasporttəŋ...","а в уфу ездила, в уфе медицинскую справку взяли, паспорта..."
evn,и вот гунэн:,и вот он сказал:
xas,"dĭʔə ildə nuʔməluʔpiʔi, a dĭ maːʔndə šobi. ","он побежал оттуда к людям, и(?) вернулся домой."
xas,bar. ,всё!
kjh,«пусть пирбезін» тіпчем.,«пусть не здороваются» говорю.
xas,varotaʔi karluʔpiʔi. ,ворота открылись.
bak,"spisok kilä, unə äsäjem aŋlattə, aðaq: šul jəlɣəlarðə fzu-ɣa, urman qərqərɣa jebärergä.","список приходит, мне мама его потом объяснила: людей такого-то года послать в фзу, лес валить."
xas,dĭgəttə šobi abanə. ,он пришел к отцу.
kjh,[emk1967f] чӱс?,[emk1967f] сто?
mhr,"нӧлтал колтыш,","поднял,"
xas,măn amnobiam šide bʼeʔ pʼe. ,я жила двадцать лет.
xas,nuzaŋgən (oʔb) kuza kulambi. ,у камасинцев один человек умер.
mhr,[15] больше миен отыл тун деч вара?,[15] [ты] больше не ходила после этого?
evn,и все.,и все.
mhr,"на здоровье, на ваше здоровье, ешьте, пейте!",
kjh,"вот ам и кир парғанда, азахмаң даа чӧр полбинчам ам.","вот теперь, когда состарилась, ногами даже не могу ходить теперь."
mhr,юалге.,прохладно.
evn,ча̄скӣ hурурэвун.,дальше пошли.
kjh,"нойма кирек, кил, ал, чі, кис сал.","что надо, иди, бери, ешь, надевай."
mhr,ну куватат пеленже толеш.,"ну, бабушка тоже с ним идёт."
bak,и šunəŋ ösön bəl jəlɣa äɣzäm jəlɣa tip atala.,и потому эта река агзам-река называется.
kjh,"и, име, ахча, піреезі чарым литрге, піреезі пір литрге пос… постарының пай чирлерін пирглебістірлер.","и, это, деньги, некоторые за пол-литра, некоторые за литр свои паи земельные раздали."
xas,a măn nuʔməluʔpim. ,и я побегу.
kjh,[evs1979f] тадар тілінең чоохтанарға.,[evs1979f] на хакасском языке говорить.
evn,тартики угусакит хуруңнэндэ.,туда верховым идешь
kjh,[zgb1935f] а только ол сиденнері иңзерілче аның. пу пі…,[zgb1935f] а только этот забор разваливается у него. это так...
kjh,[zgb1935f] кӧрінмезін.,[zgb1935f] пусть не видно будет.
kjh,"ну ладно, ам, пір дее… араға даа пирзем, албинча, от... столға одыртыпчам, одырбинча, мында турча.","ну ладно, сейчас нисколько… даже если водку даю, не берет, за стол сажаю, не садится, здесь стоит."
mhr,а теперь церку строят.,а теперь церковь строят.
kjh,[vtt1937f] ирен аӌа султрековтарға пыдырахтаң худаа килтір.,[vtt1937f] дядя ирен к султрековым свататься из бутрахтов приехал.
mhr,"ковыштам сдатлена колхозышко,","сдаём капусту в колхоз,"
evn,"мо̄ртын, мо̄ртын ачир.",самих нет.
kjh,«тизібізең» тіпче.,"«давай убежим», говорит."
evn,****,****
kjh,ну мин он читі соонаң на саптырам.,ну я после семнадцатого только буду косить.
evn,туӈадян орорво.,пятьдесят оленей
mhr,курштымашым мошташ <нрзб> курштен огыл.,сразу нельзя.
mhr,ты уже включила?,ты уже включила?
xas,măn abam tujeziʔi abi. ,мои отец туесы делал.
xas,"dĭgəttə dĭ (net) sürerbi, dĭ bazoʔ kambi. ","потом жена [его] отправила, он опять пошёл."
kjh,"[vtt1937f] э, ниме, лошадьтардың, ниме, косилка, ат.. а лошади таскали ол косилканы","это, лошадей, это, косилка, а лошади таскали эту косилку."
kjh,ол піске хыныс пирген позының ханын тӧк салған.,"он нам дал любовь, свою кровь пролил."
xas,"kös embi dĭ bar, mĭnzərleʔbə. ","положила угли, он кипит."
kjh,ой-ой-ой-ой-ой-ой.,ой-ой-ой-ой-ой-ой.
xas,"molambi gorăt, a (dĭ=) dĭ nʼi koŋ molambi. ","появился дом, а этот юноша стал его князем."
xas,surdəsʼtə nada. ,подоить надо.
xas,men (mene- di-) dĭzeŋgəʔ detləj sazən dĭʔnə. ,собака принесёт ей от них [от родителей] письмо.
evn,"потому что эрупчуе дептылэе, который эсӣко̄тко̄н депдеӈнэрэ, эӈкӣвун деврэ.","потому что плохую еду, которую сейчас едят, мы не ели."
kjh,мин «чунарға надо» тіпчем.,я «стирать надо» говорю.
xas,"nu, uja. ","ну, мясо [ешь]."
kjh,может принесёт этот… пчеловод.,
kjh,"[evs1979f] какие места, аттың ба?",
kjh,"[kau1916f] о-о, чиитте-та матап сапчам от мин, от сапчам.","[kau1916f] о-о, в молодости-то очень много косила траву я, траву косила."
xas,"dĭgəttə onʼiʔ măndə:"" šindi bi̮ dĭ (süj-) süjöm dʼaʔpi, măn bi̮ iʔgö aktʼa mĭbiem bi̮"". ","потом один [человек] говорит: «если бы кто поймал эту птицу, я бы дал ему много денег»."
xas,ugaːndə kuvas il. ,очень красивые люди.
mhr,[1] а в школу вы куда ходили?,[1] а в школу вы куда ходили?
mhr,"[13] ну, как бы шуточный.","[13] ну, как бы шуточный."
xas,dĭgəttə dĭn nʼit ibi. ,потом у него был сын.
kjh,"у-у, мағат.","у-у, хорошо."
