id,lang,source,translation
4843,mhr,мый кумшыжо улам.,я третья.
4844,bak,"nu beräj nämä onotolha, onotolɣandər inde.","ну если что-то позабылось, то забылось уж."
4845,xas,tüj bar aktʼizaŋbə bar maluʔpi. ,все мои дороги теперь остались [=заброшены(?)].
4846,xas,tüžöj dĭʔnə abi. ,корова [всё] для неё сделала.
4847,evn,бу — би до̄лдӣм.,мы — я услышала.
4848,kjh,"чуртазын… ну, туңмазы абамаң чуртапча.","пусть живет…, ну, его сестренка с моим отцом живет."
4849,xas,"dĭ pi ugandə urgo, sedem. ","этот камень очень большой, тяжелый."
4850,evn,бираду.,на реке
4851,bak,ire ber üðe =genä šul balalarðə qaraj.,ее муж сам один присматривает за этими детьми.
4852,mhr,"[13] тудым лиеш, неле огыл.","[13] это можно, нетрудно."
4853,bak,так что вот так.,так что вот так.
4854,kjh,а хайди поларзың?,а как будешь?
4855,kjh,"піс андары поомға чӧрзе, кӧрінӌең полған столба турала… туразының.","мы, когда туда снопы вязать ходили, виден был столб его дома."
4856,xas,sumna igəj. ,он пять [бутылок] возьмет.
4857,bak,[gaj] ä ul gorotqa kitkän.,[gaj] а он в город уехал.
4858,evn,бэевэ hэрэкэт овкӣ.,мужчину отдельно делал.
4859,xas,dĭn urgo (sĭ-) sĭre ibi. ,снега было много.
4860,evn,"может, уло̄ккидям как-нибудь».","может, обману как-нибудь»."
4861,xas,dĭ bar dʼorlaʔbə. ,тот плачет.
4862,kjh,"[emk1967f] ол… но, ну аны анда кӧргемох нимезің.","[emk1967f] да, я это там видела же твое."
4863,xas,"oʔb, šide, nagur, sumna, muktuʔ, sejʔpü, šinteʔtə, amitun, bʼeʔ, bʼeʔ onʼiʔ, bʼeʔ šide, bʼeʔ nagur, bʼeʔ teʔtə, bʼeʔ sumna, bʼeʔ muktuʔ, bʼeʔ sejʔpü, bʼeʔ šinteʔtə, bʼeʔ … ","один, два, три, пять, шесть, семь, восемь, девять, десять, одиннадцать, двенадцать, тринадцать, четырнадцать, пятнадцать, шестнадцать, семнадцать, восемнадцать…"
4864,kjh,[lpm1941f] э?,[lpm1941f] э?
4865,kjh,"анаң мин анда брежимде одырзымох, мині чиис идерге ызыпчалар.","потом я там когда в президиуме сижу, меня еду готовить отправляют."
4866,bak,bar bit bajðar.,есть ведь богатые.
4867,kjh,"а пының алдында піс тоғынчабыс, андағ даа халас чоғыл.","а раньше мы работаем, даже такого хлеба не было."
4868,xas,"onʼiʔ kandəga, dăre bar, kandəgaʔi kak nabəʔi. ","один идет, вот так, они идут, как утки."
4869,xas,dĭgəttə (mĭbi) dĭʔnə iʔgö. ,потом он ей дал много [вещей].
4870,xas,"a tüj ej tĭmnem"". ","а теперь я не знаю""."
4871,xas,"šide pʼel, nagur pʼel, teʔtə pʼel. ","две части, три части, четыре части."
4872,evn,опять хутэсил.,опять с детьми.
4873,xas,iʔgö tumoʔi šobiʔi. ,много мышей пришло.
4874,kjh,[evs1979f] а хайда чуртааннар?,[evs1979f] а где жили?
4875,kjh,[lat1978f] костиков фамилиялығ.,[lat1978f] по фамилии костиков.
4876,xas,sĭre ugaːndə (i-) iʔgö iʔbolaʔbə. ,снего очень много лежит.
4877,kjh,"хабах… хабах арағаны пір бутылканы алып алза, пахпыр чазып, пір тураа толдыра чон сомнахмаң урып, ӱлезіп урчаннарын кӧрӌем мин.","взяв одну бутылку белой водки, похмеляясь, в доме полно народа, наливая ложкой, деля, как разливают, видела я."
4878,xas,dĭgəttə surno nagobi. ,потом не было дождя.
4879,xas,"""kanaʔ dĭʔə. ",«уходи отсюда!
4880,xas,vărotatsi (kajluʔ- kajl-) kajluʔpiʔi. ,ворота закрылись (?).
4881,xas,krilso săbərəjdə! ,подмети крыльцо!
4882,kjh,харахха кӧрінмеӌең полтыр.,в глаза не видели.
4883,xas,măn (ig- ne-) nab igem. ,я утка.
4884,bak,ällä ul hineŋ tege täbiɣätte öjränew kitabəŋda ineme.,"или это, может быть, было в твоем учебнике изучения природы."
4885,kjh,«а синің бабушкаң пар нізе» тіпчем.,"«а у тебя ведь бабушка есть», - говорю."
4886,bak,"ɣümer bujə ilaɣan, ilaɣan, ülep kitkän.","всю жизнь плакала, плакала и умерла."
4887,bak,"šulaj buldənihä, uɣa ber að šäkär halam и дрожжи halam.","так когда будет, в него немного сахара кладу и дрожжи кладу."
4888,kjh,"пістің родтаң, ниме, самый имелері полтыр хырӌаңас апчах, тӱпей апчах, тимофей.","в нашем роду, это, самым таким был дед хырчанас, старик тупей (тимофей)."
4889,xas,tăŋ bar kandəga. ,сильно дует.
4890,mhr,"[2] а-а... один живёт старом торъяле, дом сам построил.","[2] а-а... один живёт в старом торъяле, дом сам построил."
4891,bak,"unan huŋ ular här ber öjðän jöröp səqqandan huŋ, beð irtänge namaððə uqənəq.","после этого, после того, как они обошли все дома, мы совершили утренний намаз."
4892,xas,"šonəga, šonəga, urgaːba šonəga. ","идет-идет, [видит]: медведь идет."
4893,bak,"bəna šuɣa qarap beððe bötä jerðä =lä ütkärälär, šunəŋ ösön beðgä ul braslettarðə almaθqa quštəlar häm beð almanəq =ta.","вот смотря на это (браслеты), нас во всех местах пропускали, поэтому нам эти браслеты не разрешали снимать, и мы не снимали."
4894,xas,dĭgəttə pʼešbə nendəbiem. ,печь затопила.
4895,kjh,ам чоохтап пирим.,сейчас расскажу.
4896,evn,"«hэлэ исевко̄ндеӈо̄в, эр hэргӯдӯ дундэдӯ биконэм, эмэм, гуннэ.","«вот покажу, сказав, что пришел, побывав на нижней земле."
4897,xas,"""pirog amaʔ"". ","""съешь пирожок!"""
4898,kjh,"анаң ниме... уйсып аӌа, нан алтына кіріп чатчабыста, піди тіпче.","потом это... дядя иосиф, когда мы под прокос залезли и лежим, так говорит."
4899,mhr,"пеш дружно иленут,","очень дружно жил,"
4900,kjh,[evs1979f] тадар тілінең чоохтаныңар.,
4901,kjh,"час чоғыл, часы чох, ханӌа времяда турып аларзың, анда парчабыс.","часов нет, без часов, в какое время встанешь, тогда идем."
4902,evn,тарит тавэр бэе бувкӣ одан тар hа̄рги тумнинадин.,вот люди и стали умирать из-за плевка черта.
4903,mhr,[15] кӱсотышкыжат?,[15] и в роще?
4904,kjh,"андағ тағ ээзілеріне пу піди андағ ниме чоғыл иирде, хызыл иирде тасхар ойнап чӧрчетсе, пілдірбинче?","здесь хозяев гор таких нет вечером, когда на улицу на закате ходишь играть, не показываются?"
4905,kjh,"[smm1950f] оды мағат анда міне, хыринӌа піди парғабыс машиналығ <ӱстӱнің хырина читіре>.","[smm1950f] трава там хорошая, мы рядом проезжали на машине до верхнего края (покоса)."
4906,mhr,"а-а,","а-а,"
4907,xas,(tăŋ=) tăŋ amorlam. ,много буду есть.
4908,evn,гиркуна.,пешком.
4909,kjh,ам ол… но ол… мині…,теперь он… но он… меня…
4910,bak,"ой видали, все видала...",***
4911,kjh,андағ кізілерде кил чоохтаӌаң ниме чоохтирға кӱс кізі полған абам.,"он рассказывал такие истории, он вообще был хорошим рассказчиком («рассказать силен»)."
4912,xas,"dĭ amnolaʔbə, kănnalaʔbə. ","она сидит, замёрзла."
4913,xas,"""iʔ pimgeʔ! ",«не бойтесь!
4914,kjh,"«а анаң килебіс че, еще килебіс» тіпче, чоохтапчалар.","«а потом придём, ещё придём» говорит, говорят."
4915,kjh,кӧрӌең кізі чоғыл ба?,присмотреть некому?
4916,kjh,"а мегее план пир салғаннар, хой сӱдін, читон тӧрт хойдың сӱдін чӱс литр сағарға.","а мне план дали, овечье молоко, молока с семидесяти четырех овец сто литров надоить."
4917,xas,(sujo= sujo= bazaj=) bazaj süjönə amnobibaʔ. ,мы сели на железную птицу [=на самолет].
4918,bak,"потому что täqdir kitabə ber allala, ul küktä, dürtense qatənda haqlana.","потому что книга судьбы только у бога (аллаха), хранится на небесах, на четвертом уровне."
4919,kjh,"а чураң ол кӱн парыбысхан, чааға парған.","а чуран в тот день уехал, на войну уехал."
4920,kjh,а мында пір пуға лохс ник халды.,а здесь одна как бык корова осталась.
4921,xas,"dĭ neröluʔpi i saʔməluʔpi, a dĭ nuʔməluʔpi. ","тот испугался и упал, а [волк] убежал."
4922,kjh,[smm1950f] кемге?,[smm1950f] кому?
4923,bak,"balalarə äsälärenä qaramajðar, äj, äsäläre, äj, balalarə, dürt balahə =la äsälärenä qaramajðar, qaramajðar tej.","дети не ухаживали за матерью, ой, мать, ой, дети, эти четверо детей не ухаживали за матерью, не ухаживали вот."
4924,xas,dĭgəttə ertə molambi. ,потом настало утро.
4925,kjh,"а сосха, алып, азырихчатхам.","а свинью, купив, хотела кормить."
4926,evn,би пэктырэ̄нэм.,я выстрелил.
4927,kjh,пу пенсия кӧмес алып алчазың нізе.,эту пенсию немного получаешь ведь.
4928,xas,"""măn koŋ, măn koŋ"". ","«я царь, я царь»."
4929,xas,"(tüžöj) tüžöj nʼeluʔpi bar, üdʼüge büzo. ","корова родила, теленок маленький."
4930,xas,"""nada šiʔnʼileʔ monoʔkosʼtə nezeŋ. ","""надо искать вам жен."
4931,evn,некоторый хагдикар оленеводил тар дявӯседерэ оронмэ.,"некоторые старые оленеводы, те держат оленя."
4932,bak,šulajtəp nej ataj menän nejgä kürše awəlɣa igende onɣa... tirmängä aləp barɣan xäteremdä.,"в памяти у меня, как с отцом в соседнюю деревню зерно возили на муку... на мельницу."
4933,evn,"а только hагданми, о̄са̄н рыбаком.","только состарившись, он стал рыбаком."
4934,bak,''nisek asaŋ?''.,"""как откроешь?"""
4935,mhr,[15] мом вара лечитленытше?,[15] и что лечили?
4936,kjh,"ол хурғап парған, я, хурғап парған тахпыларды хапха суғып, унатып, сӧӧктерін ол апчахтар малтымаң киртіп, анаң мин илекмең илеп, он пис хап тахпы ысхабыс ол апчахтармаң.","он высох, да, высохший табак в мешок затолкав, раскрошив, кости (стебли?) эти старики топором порубили, потом я через сито просеяла, и пятнадцать мешков табака отправили с этими стариками."
4937,mhr,тудо туге тӱҥалын.,это так началось.
4938,xas,"măndə:"" deʔ măna nʼamgaʔi!"" ",говорит: «принеси мне [чего-нибудь] сладкого».
4939,kjh,"ал чӧрчелер, ал чӧрчелер, просто ам тоғыс класста ӱгренче.","возят, возят, просто сейчас в девятом классе учится."
4940,bak,"no mineŋ atajəmdar =ða ošo kolxozda ešlägändär, ular тоже besän ešlägändär.","ну, мои родители тоже работали в этом колхозе, они тоже готовили сено."
4941,mhr,в украину отпустили.,в украину отправили.
4942,kjh,"сигіс лётчик тӧреен мыннаң, и пір лётчик султреков олег ӱреен, э, ниме...","восемь лётчиков родилось отсюда (здесь), и один лётчик султреков олег умер, это..."
4943,kjh,[evs1979f] тігі неделяда.,[evs1979f] на той неделе.
4944,kjh,"ол аттығ, тігі хастырыхха кире парыбысхабыс, печень аалға ат кире.","он верхом, до хастырых мы ушли, до деревни печень он на лошади."
4945,kjh,а кем сабар отты?,а кто косить будет траву?
4946,xas,"a vot măn nʼim, pušaj mĭlleʔbə. ","а вот мой сын, пусть он ходит [за деньгами]."
4947,bak,aldan harəqtar aləp kilenä.,овцы привозятся заранее.
4948,kjh,[emk1967f] <оох-теек>?,[emk1967f] мелочи?
4949,kjh,вот андағ здоровье пол парған хомай.,вот такое здоровье стало плохое.
4950,mhr,коҥганурышто.,в конгануре.
4951,bak,"ä arpa menän tarənə из чекмагушевского района alar nej полмешка или nej aləp kildelär, orloq, aləp kildelär =ðä, šunə säsep qaranə.","а ячмень и просо они из чекмагушевского района, это, полмешка или сколько привезли, семена, привезли и их попробовали посеять."
4952,xas,bar kalla dʼürbiʔi. ,все уехали.
4953,xas,monoʔkobiʔi. ,они поженились.
4954,bak,məna šul waqətta beððeŋ küŋeldä šundaj tojɣo qaldə.,вот в этот момент у нас в душе осталось такое чувство.
4955,xas,dĭgəttə formanə endleʔbəm. ,потом кладу в форму.
4956,kjh,[mvk1924f] а сарғайы пар нізе анда.,[mvk1924f] а саранка есть ведь там.
4957,kjh,"іӌем, олар ир харындастар,… ӱс ир харындас, так… тӧрт… тӧрт хыс… э-э, пис хыс… пис хыс полтыр, ӱс оол.","моя мама, эти братья… три брата, так… четыре… четыре дочери… э-э, пять дочерей было, три сына."
4958,mhr,"ик мужикым школ воктене,","одного мужика рядом со школой,"
4959,bak,"zöxrä ajɣa qaraj =ða: ""ej, aj, alø mine üð janəŋa!","зухра смотрит на луну и [говорит]: ""эй, луна, забери меня к себе!"
4960,xas,"a dĭ bar dʼorbi, dʼorbi, dĭgəttə (kambi). ","а он плакал-плакал, потом ушел."
4961,xas,koldʼəŋ kanaʔ. ,иди медленно(?).
4962,xas,"(dĭ kuza š-) dĭ tibi šobi, dĭm ej tĭmnebi. ","этот человек пришел, ее не узнал."
4963,kjh,"карагайдаң ағылча, анаң чыланнығдаң, анаң пістің, таштыпха апарып, анаң машинамаң тазыпчан полбас пе зе абаканға поездке ол аттарды.","из карагая ведут, потом из чилан, потом от нас, угнав в таштып, потом на машине увозят, наверно, в абакан на поезд этих коней."
4964,kjh,"ам, кир парғанда, уйғу чоғыл.","теперь, когда постарела, сна нет."
4965,evn,хуркокочо̄нмэ элэ элэ̄лӣ оча прямо бэдни.,"вот как мальчик как раз прямо стала, бедная."
4966,evn,"тавуңнэрэвун, потом утром [тымāлтāнэ] ня̅н һаңкэлдулдулэ̅ намңнэрэвун, ня̅н hуруңнэрэвун.","ставим палатку, потом утром утром опять на санки, на санки кладем, опять едем"
4967,kjh,"[evs1979f] амох суурыбызам, кӧзіт пирем…","[evs1979f] сейчас сниму, покажу..."
4968,xas,(amo-) amnobiʔi büzʼe nüketsi. ,жили мужчина с женщиной.
4969,kjh,олар о... от саап полбинчалар.,они не могут косить.
4970,xas,onʼiʔ pʼero (de-) deʔpi. ,"[она вырвалась, но] он принес одно перо."
4971,xas,bü kabarbi. ,воды хватило.
4972,xas,"dĭgəttə abat dʼorbi, ajirbi. ","тогда отец заплакал, ему стало жалко."
4973,xas,dĭgəttə dĭ bazoʔ parluʔpi. ,тогда она обратно вернулась.
4974,evn,****,****
4975,kjh,а пу вальсы нимені… вальсты танцевать полӌаң полғабыс.,
4976,bak,саратовская гармонь была.,саратовская гармонь была.
4977,mhr,[1] мм.,[1] мм.
4978,xas,"""(d-) măn kubiom, šində tojirlaʔbə. ","""я видел, кто крадет!"
4979,mhr,ынде кугыза чисти ӧрын:,дедушка очень удивился:
4980,bak,"öj berenä jöröp, xäl belälär...","ходили подряд по домам, знали как дела..."
4981,xas,"""ĭmbi šobial?"" ","""зачем пришла?"""
4982,xas,"tüj da ĭzemneʔbə bar ujam"". ",теперь и тело болит».
4983,bak,"šunan tege balalar: ""asəqtəq beð hineŋ əŋɣajəŋa kildek!"".","потом те дети: ""мы проголодались, за тобой пришли!"""
4984,kjh,азыранмин дее… а кізінің кӱзі пар полтыр.,"не поев даже… а сила у человека есть, оказывается."
4985,bak,ä bəna qalɣanən hin üðeŋdeŋ nejeŋdeŋ näfseŋde nejðären tip tejew bula.,а все остальное ты уже своих этих этих самых... свои желания (выполнишь).
4986,mhr,"стипендиет тройкылан уке, чет= четвёркылан веле.","стипендию не давали за тройку, только за четвёрку."
4987,kjh,"а чӱгенні, ниме, киндірдең сас чілеп ӱріп алып, аттың чӱгені итчең молған.","а уздечку, это, из конопли, как волосы сплетя, уздечки для коней я делала."
4988,evn,эр уӈун мина амӣним бичо̄н.,"это, отец мой был."
4989,bak,"beloret zavodəna, unda qoros iretewðä ošo kümer, qajən kümerðärðe qullanɣandar.","на белорецкий завод, там при плавке стали этот уголь, березовые угли использовали."
4990,kjh,[evs1979f] хайдағ антонның?,[evs1979f] какого антона?
4991,xas,amorzittə mĭzittə. ,накормить.
4992,bak,šul saŋɣə taɣəp kejep aləp üðem urmanɣa səɣəp kitä torɣajnəm.,"вот, надев лыжи, сама в лес уходила."
4993,xas,dĭgəttə kanlaʔbəʔjə. ,они идут.
4994,mhr,а-а... мать... из сернурского района.,а-а... мать... из сернурского района.
4995,bak,[gaj] kem menän?,[gaj] с кем?
4996,kjh,"вот сілер одырчазар, мин сілерді как в тумане вижу.","вот вы сидите, я вас как в тумане вижу."
4997,mhr,катык кӱмыж коҥгамбак.,колотая миска на печку.
4998,kjh,[lmp1941f] кічіг оолғы кил парча.,[lmp1941f] младший сын приезжает.
4999,mhr,тидыже пеш сайже огыл да.,"это, конечно же, не очень хорошо."
5000,xas,"(măn) kallam, dĭgəttə dĭ (kandə-) kaləj mănzʼə. ","я иду, и она идет со мной."
5001,evn,умуко̄нмэ бултарэв.,одного добыли.
5002,bak,"häm batqaqtəŋ, unəŋ šifahə bik häjbät.","и от этой грязи, от нее большая польза."
5003,xas,a to nabəʔi (bargamunəʔi) tănan. ,а то птицы ((…)) тебя.
5004,kjh,фамилиязы хайди олардың?,как фамилия у них?
5005,mhr,[2] судить не будут наверно меня.,[2] судить не будут наверно меня.
5006,mhr,[15] вара~,[15] потом~
5007,kjh,а кӱкиек аӌа иртох іди… аның паста… ипчізі нина полған.,а дядя кукиек рано так… его перва… жена нина была.
5008,xas,"dettə măn tʼerməndə"". ","неси мою мельницу!"""
5009,xas,dĭgəttə (mi̮-) măn šobiam. ,потом я приехала.
5010,evn,"эмэдеӈнэрэв, эмэдеӈнэрэв.","подходим, подходим."
5011,mhr,"каен, арня коштын,","поехал, неделю проездил,"
5012,kjh,спичка чох полған же.,спичек же не было.
5013,xas,dʼăbaktərla. ,говоря(?).
5014,kjh,"пылтыр кемге тырба <?>, или холдаң тырбаан <?>?",или в прошлом году руками (не трактором) копнил?
5015,mhr,"д= девчонке-то ходила,","к дочери-то ходила,"
5016,xas,"dʼăbaktərzittə (dak), šindi naga. ",говорить не с кем.
5017,mhr,"шестнадцать, вы говорите, у вас внуков?","шестнадцать, вы говорите, у вас внуков?"
5018,bak,"ну вот, ul büläk, šul примерно šul meŋ biš jöð humləq, büläk bulərɣa teješ, unan =da käm bulmaθqa teješ.","ну вот, этот подарок примерно, это, полторы тысячи должен стоить, не меньше этого."
5019,xas,dĭ šerbi da kambi nʼiʔdə. ,она надела и вышла наружу.
5020,mhr,"аваже, тушто акашт толыныт",мать и сестра этих ребят пришли
5021,kjh,"пірсі, ниме, абаканда ӱреен лётчик, анда чуртаан.","один, это, в абакане умер лётчик, там жил."
5022,bak,ну unə qäjnä keše или äsäj keše biräler inde tip ujlajəm inde.,
5023,xas,"da (kunolbialəj- kulonolbiam-), jakše băzəbiam. ",да я хорошо помылся.
5024,xas,"dʼabərobi bar, (kudonzəbi) bar. ","он дрался, ругался(?)."
5025,evn,"элдӯ-ка, ну как сказать-то, эти, коммерсанты, комме..., коммесар... коммерсашэлдӯ униэӈнэрэв шобдёрвэ, улукилвэ.","этим, ну как сказать-то, эти, коммерсанты, коммерсантам продаем соболей, белок."
5026,mhr,"[13] м-м,","[13] м-м,"
5027,kjh,[mdc1963f] <?> халды ба?,[mdc1963f] (о чем-то) осталось?
5028,bak,"ä aθta, beððeŋ aθta староста jäšäj torɣajnə obščežitienəŋ.","внизу, под нами, жила староста общежития."
5029,xas,dĭgəttə dĭ dĭʔnə ara kămnəbi. ,потом он налил ему водки.
5030,xas,a dĭ kuza dʼaʔpi ujutsiʔ. ,а этот человек ухватил её за ногу.
5031,bak,"äää, huɣəš nindäj =genä huɣəš bulmahən huŋ, bulmahən, huɣəš bulmahən.","ох, война, пусть только никакой войны не будет, пусть не будет, пусть войны не будет."
5032,mhr,ой= эшеат ойырлен огына керт.,все ещё не можем расстаться.
5033,kjh,[kau1916f] вот.,[kau1916f] вот.
5034,bak,но ul не такой крепкий напиток.,но это не такой крепкий напиток.
5035,xas,(i leziʔ) kadəldə bar toʔnarbi (bil-). ,и всем людям в лицо кости полетели.
5036,kjh,"а и ол ле, ниме, кир апчах, кем май…, ой, асиб апчах, майта апчах, тігі ниме, олар чӧргеннер.","а и он только, это, старый старик, этот май…, ой, асиб старик, майта старик, это, они ходили."
5037,kjh,"завтракать иртенгізін азырапчабыс он пір часта, анаң обедте ӱс час азыранчабыс, анаң иирде тоғыс часта.","завтракаем утром в одиннадцать часов, потом в обед в три часа едим, потом вечером в девять часов."
5038,bak,"ul mosolman ɣöröf ɣäðättärenä, dingä öjrätkän.","он обучал мусульманским обычаям, религии."
5039,kjh,"ой, ам вообще соох.","ой, сейчас вообще холодно."
5040,kjh,"а пір-ікі хати чунза, всё, тастап одыр.","а один-два раза постираешь, всё, выбрасывай."
5041,bak,aðaq ujnarbəð tigän.,"потом поиграем, мол."
5042,kjh,"флягамаң суғох сыбыра хада ал чöрчем, колодестердең хаап.","и во фляге воду постоянно с собой вожу, из колодцев набирая."
5043,xas,măn ugandə iʔgö šiʔnʼileʔ dʼăbaktərbiam. ,я с вами очень много говорила.
5044,kjh,"ам сағынзам, ноға iди чӧрӌең полған, ам тіп сағынчам, iди ибiм тастап.","сейчас думаю, почему так уезжали, сейчас думаю, так дом свой бросая."
5045,xas,măn amorzittə molam. ,я есть буду.
5046,xas,"""kanžəbəj (maʔsʼ-) mănzi"". ","""пойти с мной""."
5047,xas,"что в юрте было, там какой огонь. ","что в юрте было, там какой огонь. "
5048,bak,"qaj saqta öθtän möθtän =genä jawap qajtarðə,",иногда отвечал поверхностно.
5049,kjh,"хараазын ниме салӌаң, анаң иртен анох, чылыдып, чіп алып, тоғысха парып.","ночью что делали, потом утром это же, подогрев, ели, на работу уходя."
5050,kjh,[mvk1924f] а сеең чоғыл ба?,"[mvk1924f] а у тебя нет, что ли?"
5051,xas,multʼanə kanaʔ! ,в баню сходи.
5052,xas,a … ,а…
5053,xas,udal padʼi ĭzemnie. ,"у тебя рука, наверное, болит."
5054,kjh,"та… ам ӧскіріп алған, ам тӱс парыбысса, тіпче «пазым айланча, мама».","сейчас поднял, сейчас если падает (давление), говорит «голова кружится, мама»."
5055,kjh,«три… ӱс муң сых парча» тіпче.,«три… три тысячи выходит» говорит.
5056,mhr,мошто...,это…
5057,xas,šide kuza dĭʔnə šobiʔi. ,два человека к нему пришли.
5058,mhr,[15] чыла ӱдырамаш-влак ыштеныт?,[15] все женщины работали?
5059,xas,a girgidəʔi (dăr-) dăre monoʔkobiʔi. ,некоторые так сватались.
5060,xas,munujʔ (ene-) ellem. ,яичко положу.
5061,xas,"dĭgəttə nʼit šobi:"" ĭmbi kirgarlaʔbəlaʔ?"" ","тогда их сын пришел: ""почему вы кричите?"""
5062,bak,"hin anə aləp barəp сдавать itäŋ bit inde уже, oxotsojuzɣa.",ты это несешь и сдаешь в охотсоюз.
5063,kjh,вот хайдағ ачырғас.,вот какое огорчение.
5064,mhr,"[2] мом э-э... т= толынам пятьдесят второй годышто дак,","[2] это… приехала в пятьдесят втором году,"
5065,bak,"так, рая - основной герой, так...","так, рая - основной герой, так..."
5066,bak,šunan birle bəna ajða köjäntäle qəðəqaj baθəp jergä qarap tora ikän.,и с этого времени вот на луне будто бы сидит девушка с коромыслом и смотрит на землю.
5067,xas,"""măn tănan kola detlem teinen"". ","""я сегодня принесу тебе рыбу""."
5068,kjh,полысча… матап полысчаңнар кізілер іди.,помогают… хорошо помогали люди так.
5069,kjh,"мині кӧр салып, іӌезінзе чӧрӌең полған, анаң, мині кӧр салза, «ох, ағазах, пазох килдің ме?»","меня увидит, к матери ездил, потом, когда меня увидит, «ох, палочка, снова пришла?»"
5070,kjh,"мя... мин хайди пирбеем, кӱстенгем пирбеске.","я как не давала, старалась не дать."
5071,kjh,[mvk1924f] таппаазар еще?,[mvk1924f] не родили ещё?
5072,xas,kandəlaʔbəʔjə. ,идут.
5073,mhr,кӧ куш тыҥалын.,кто куда начал ходить.
5074,kjh,"чыланнығ унаң полған, карагай унаң полған, пыдырах унаң полған.","чиланы отдельно были, карагай отдельно был, бутрахты отдельно были."
5075,mhr,"аван шӱйышкӧ кержалтам, эше тудым кертынам, кидем кошар гай гынат.","маме на шею вешаюсь, ещё это могла, хотя руки были как коряги."
5076,xas,"""tăn jamanə suʔmiləl?"" ","""ты прыгнешь в яму?"""
5077,xas,"i piziʔ kutləj miʔnʼibeʔ"". ",и камнем нас убьёт».
5078,xas,(dʼünə) dʼünə (kə-) embiʔi. ,на землю клали.
5079,evn,хутэлви эр гулэтын эрэ аят.,"у моих детей дом, это самое, хорошо."
5080,kjh,"алисее дее чоохтабаам, пір дее чоохтабаам, ӱр.","даже алисе не говорила, ничего не говорила, долго."
5081,mhr,"[14] чернилажым шке ыштена ыле, шке намиена ыле школышко…",
5082,mhr,[14] коштыктенам.,[14] носила.
5083,kjh,"сығар килген старик, ӧллеп парча, пірердең ізібіс, ікінӌізін айди урча.","вытащил старик, наливает, по одной выпив, вторую так наливает."
5084,mhr,"первый классыш кайымем мый таче кече гай шарнем, мом чиенам:","как в первый класс пошла, я как сегодня помню, во что была одета:"
5085,xas,"(odʼinʼ-) onʼiʔ büzʼe ej kunollaʔbə, onʼiʔ nüke ej kunollaʔbə. ","один мужик не спит, одна баба не спит."
5086,mhr,куд ийже эртен,шесть лет прошло
5087,bak,"ä tön bit inde, jetmähä beððeŋ jul... tege tigeð juldan tügel, ä kasaɣorðan məna, tawðəŋ bitenän baram.","а ведь ночь, к тому же наша дорога... вот не по ровной дороге, а по косогору, по склону горы еду."
5088,xas,"""ĭmbi dʼorlaʔbəl?"" ",«что ты плачешь?»
5089,kjh,[emk1967f] а.,"[smm1950f] с орешковым женей в открытом месте косили же, они пускай это косят."
5090,mhr,ту бойкой вате.,она бойкая женщина.
5091,kjh,"[evs1979f] мыннаң, ниме, двоюродный ха… туңмам алған.","[evs1979f] отсюда, это, двоюродный братишка взял."
5092,kjh,"анаң, моторист полып, так мотористмең пенсияа парған.","потом, мотористом будучи, так и мотористом на пенсию ушел."
5093,bak,šunan arə nej šul heŋlelärenä ingändär inde šunan šulaj.,потом дальше это самое к их младшей сестре (и ее семье) зашли вот потом.
5094,xas,"ĭmbi nʼilgösʼtə šobilaʔ, măndərzittə šobilaʔ? ","что слушать, смотреть пришли?"
5095,kjh,ол султрековтардың туразы.,это дом султрековых.
5096,xas,urgo paʔi nuldəbiʔi. ,ставили большие шесты.
5097,mhr,мемналан пайремлан веле пукша ыле —,нас только по праздникам кормил —
5098,kjh,[tna1930f] угу.,
5099,xas,dĭgəttə dĭn tüžöj üjüttə amnut   embi. ,потом у его коровы из ноги вырос рог (?)
5100,mhr,"вот клат э... пуста клат, нигӧ тушто илен огыл.","вот амбар… пустой амбар, никто там не жил."
5101,kjh,и анартын пеере тут килібіскеннер нізе.,и оттуда сюда увели замуж («скарамчили»).
5102,xas,"tănan iʔgö aktʼa maːluʔpi"". ",тебе много денег оставил».
5103,mhr,"[2] э-э, квартир семын.","[2] да, как квартира."
5104,xas,(i ku-) i gurun andʼigatovan tura iššo nuga. ,и (…) анджигатова дом еще стоит.
5105,kjh,"азырап, палаларына сыданча ол.","выкормив, для детей справляется."
5106,xas,"tăn nörbit, măn nörbit. ","ты расскажи, я расскажи."
5107,xas,dĭ kambi. ,он пошёл.
5108,kjh,вот іди ағырығ пол парғам чӱрегімнең.,вот так больная стала сердцем я.
5109,bak,"""tawəštarə, ir menän qatən tawəšə išetelä tej inde"".","""голоса, мужчина и женщина, голоса слышатся как бы""."
5110,bak,ä raja buləp... raja törmälä qalərɣa teješ bula.,а будучи раей... рая должна остаться в тюрьме.
5111,bak,ul här... här jerðä barɣan ömälä qatnašərɣa tərəštə.,она всюду (т.е. в разных местах деревни) старалась поучаствовать в субботнике.
5112,kjh,"мин атмаң чӧрӌем нізе, абамнаң, конюх кізінің, палазы.","я на лошади ездила ведь, с отцом, конюха ребенок."
5113,bak,šul köð könö nej eš xaqə itep šul igen birgändärðer inde.,"это осенью, это, вместо зарплаты это зерно, наверное, давали."
5114,xas,(dö m-) dö măn ženʼixbə. ,"""вот, вот мой жених""."
5115,mhr,о-ой!,ой!
